GPSTimeOfFixUTC,Latitude,Longitude,WindSpeed,WindDirection,Temperature,Pressure,Speed m_per_s
,,,0.9,144.3,17.1,1023.20112489,
,,,0.9,132.0,17.1,1023.09953319,
,,,0.9,107.4,17.1,1023.00132788,
,,,0.7,79.3,17.1,1023.00132788,
,,,0.7,75.1,17.1,1023.00132788,
,,,0.6,74.0,17.1,1023.00132788,
,,,0.3,82.3,17.1,1023.00132788,
,,,0.4,155.4,17.1,1023.09953319,
,,,0.4,155.0,17.1,1023.09953319,
,,,0.5,194.2,17.1,1023.09953319,
,,,0.4,198.5,17.1,1023.09953319,
,,,0.4,167.6,17.1,1023.09953319,
,,,0.3,168.0,17.1,1023.09953319,
,,,0.2,145.0,17.1,1023.00132788,
,,,0.3,138.0,17.1,1023.00132788,
,,,0.3,131.9,17.1,1023.00132788,
,,,0.2,129.8,17.2,1023.00132788,
,,,0.1,48.4,17.2,1023.00132788,
,,,0.3,152.5,17.2,1023.09953319,
,,,0.7,133.7,17.2,1023.20112489,
,,,0.7,117.6,17.2,1023.20112489,
,,,0.5,122.2,17.2,1023.2993302,
,,,0.6,189.9,17.2,1023.2993302,
,,,0.7,184.4,17.2,1023.49912721,
,,,1.1,170.6,17.2,1023.60071891,
,,,0.9,171.4,17.2,1023.69892422,
,,,1.1,170.6,17.2,1023.80051592,
,,,0.9,173.1,17.2,1023.90210762,
,,,0.9,153.1,17.2,1023.90210762,
,,,0.9,164.8,17.2,1024.10190463,
,,,1.0,162.3,17.2,1024.20010994,
,,,1.2,156.7,17.2,1024.00031293,
,,,1.2,163.7,17.2,1024.10190463,
,,,1.3,170.3,17.2,1024.10190463,
,,,1.9,175.6,17.2,1024.10190463,
,,,1.7,176.8,17.2,1024.00031293,
,,,2.1,163.8,17.2,1024.10190463,
,,,1.9,186.6,17.3,1023.90210762,
,,,2.2,185.9,17.3,1023.80051592,
,,,1.6,170.9,17.3,1023.60071891,
,,,1.2,178.3,17.3,1023.49912721,
,,,1.1,174.0,17.3,1023.4009219,
,,,1.2,186.3,17.3,1023.20112489,
,,,0.5,164.0,17.3,1023.09953319,
,,,0.7,164.5,17.3,1023.00132788,
,,,0.8,167.3,17.3,1022.80153087,
,,,0.9,164.2,17.3,1022.69993917,
,,,1.1,161.5,17.3,1022.60173386,
,,,1.2,161.5,17.3,1022.60173386,
,,,0.6,211.8,17.3,1022.50014216,
,,,0.8,232.0,17.3,1022.40193685,
,,,0.9,240.0,17.3,1022.30034515,
,,,1.1,242.7,17.3,1022.30034515,
,,,1.0,242.7,17.3,1022.30034515,
,,,0.8,242.7,17.3,1022.30034515,
,,,0.8,253.1,17.3,1022.30034515,
,,,0.7,260.2,17.3,1022.30034515,
,,,0.7,244.5,17.4,1022.30034515,
,,,0.6,250.1,17.4,1022.40193685,
,,,0.8,269.7,17.4,1022.40193685,
,,,0.9,260.1,17.4,1022.50014216,
,,,0.8,248.4,17.4,1022.60173386,
,,,0.5,251.1,17.4,1022.69993917,
,,,0.3,244.8,17.4,1022.69993917,
,,,0.3,262.2,17.4,1022.69993917,
,,,0.2,280.9,17.4,1022.80153087,
,,,0.0,0.0,17.4,1022.80153087,
,,,0.2,287.5,17.4,1022.80153087,
,,,0.3,345.8,17.4,1022.80153087,
,,,0.6,343.1,17.4,1022.89973618,
,,,0.5,353.1,17.4,1022.89973618,
,,,0.5,3.5,17.4,1023.00132788,
,,,0.7,335.5,17.4,1023.09953319,
,,,1.0,324.4,17.4,1023.20112489,
,,,1.0,340.7,17.4,1023.20112489,
,,,1.0,340.0,17.4,1023.4009219,
,,,1.2,328.7,17.4,1023.4009219,
,,,1.2,319.0,17.4,1023.4009219,
,,,1.2,322.3,17.4,1023.49912721,
,,,1.8,328.1,17.4,1023.49912721,
,,,1.4,322.8,17.4,1023.49912721,
,,,1.3,312.2,17.4,1023.60071891,
,,,1.1,308.9,17.4,1023.60071891,
,,,1.7,311.8,17.4,1023.60071891,
,,,2.3,288.1,17.4,1023.60071891,
,,,2.1,287.2,17.4,1023.49912721,
,,,1.7,290.3,17.5,1023.49912721,
,,,2.1,287.9,17.5,1023.2993302,
,,,2.1,283.6,17.5,1023.09953319,
,,,1.1,281.4,17.5,1023.00132788,
,,,1.2,284.1,17.5,1022.80153087,
,,,0.7,288.5,17.5,1022.69993917,
,,,0.3,293.6,17.5,1022.69993917,
,,,0.9,309.0,17.5,1022.60173386,
,,,0.7,329.1,17.5,1022.50014216,
,,,1.1,323.9,17.4,1022.50014216,
,,,0.9,305.1,17.4,1022.40193685,
,,,1.2,301.3,17.4,1022.40193685,
,,,1.3,305.2,17.4,1022.40193685,
,,,1.3,312.0,17.4,1022.50014216,
,,,1.4,310.8,17.4,1022.50014216,
,,,1.4,322.8,17.4,1022.50014216,
,,,1.0,329.8,17.4,1022.50014216,
,,,0.9,327.6,17.4,1022.50014216,
,,,0.6,325.5,17.4,1022.50014216,
,,,0.5,301.7,17.4,1022.60173386,
,,,0.5,316.5,17.4,1022.60173386,
,,,0.5,359.0,17.4,1022.69993917,
,,,0.6,24.7,17.4,1022.69993917,
,,,0.4,20.4,17.4,1022.80153087,
,,,0.2,21.0,17.4,1022.89973618,
,,,0.1,316.4,17.4,1022.89973618,
,,,0.4,316.4,17.4,1023.00132788,
,,,0.8,327.7,17.4,1023.09953319,
,,,1.1,323.7,17.4,1023.09953319,
,,,1.2,328.8,17.4,1023.20112489,
,,,1.0,333.8,17.4,1023.20112489,
,,,0.8,338.1,17.4,1023.2993302,
,,,0.8,346.0,17.4,1023.2993302,
,,,0.8,349.8,17.4,1023.2993302,
,,,0.7,358.7,17.4,1023.4009219,
,,,0.7,29.1,17.4,1023.4009219,
,,,0.8,359.6,17.4,1023.49912721,
,,,0.9,331.9,17.4,1023.49912721,
,,,1.2,339.2,17.4,1023.49912721,
,,,1.0,333.3,17.4,1023.49912721,
,,,1.0,332.6,17.4,1023.49912721,
,,,1.0,326.9,17.4,1023.4009219,
,,,1.0,339.7,17.4,1023.4009219,
,,,0.9,336.1,17.4,1023.2993302,
,,,0.8,327.9,17.4,1023.2993302,
,,,1.1,331.3,17.5,1023.20112489,
,,,1.2,341.7,17.5,1023.09953319,
,,,0.9,331.5,17.5,1023.00132788,
,,,1.0,340.7,17.5,1022.89973618,
,,,1.2,340.2,17.5,1022.80153087,
,,,0.9,337.1,17.5,1022.69993917,
,,,0.9,344.4,17.5,1022.69993917,
,,,0.8,354.6,17.5,1022.60173386,
,,,0.6,342.6,17.5,1022.50014216,
,,,0.4,340.4,17.5,1022.30034515,
,,,0.5,327.3,17.5,1022.20213984,
,,,0.7,330.7,17.5,1021.99895644,
,,,0.6,328.3,17.5,1021.90075113,
,,,0.6,327.9,17.5,1021.70095412,
,,,0.6,328.1,17.5,1021.59936242,
,,,0.6,322.5,17.5,1021.50115711,
,,,0.6,305.5,17.5,1021.39956541,
,,,0.5,332.8,17.5,1021.39956541,
,,,0.5,330.9,17.5,1021.3013601,
,,,0.4,316.4,17.5,1021.3013601,
,,,0.4,290.0,17.5,1021.3013601,
,,,0.6,308.1,17.5,1021.1997684,
,,,0.5,298.5,17.5,1021.1997684,
,,,0.5,305.8,17.5,1021.3013601,
,,,0.5,316.3,17.5,1021.3013601,
,,,0.6,337.9,17.5,1021.39956541,
,,,0.5,316.4,17.6,1021.50115711,
,,,0.6,304.5,17.6,1021.59936242,
,,,0.5,333.4,17.6,1021.70095412,
,,,0.5,329.3,17.6,1021.79915943,
,,,0.4,347.1,17.6,1021.79915943,
,,,0.4,3.9,17.6,1021.90075113,
,,,0.5,15.6,17.6,1021.99895644,
,,,0.3,26.6,17.6,1022.10054814,
,,,0.3,23.6,17.6,1022.10054814,
,,,0.3,352.7,17.6,1022.10054814,
,,,0.3,4.0,17.6,1022.10054814,
,,,0.4,28.5,17.6,1022.10054814,
,,,0.4,12.8,17.6,1022.10054814,
,,,0.5,8.4,17.6,1022.10054814,
,,,0.5,20.5,17.6,1022.10054814,
,,,0.4,18.5,17.6,1022.10054814,
,,,0.2,19.0,17.6,1022.20213984,
,,,0.2,27.0,17.6,1022.20213984,
,,,0.2,13.0,17.6,1022.20213984,
,,,0.2,359.2,17.6,1022.20213984,
,,,0.2,14.4,17.6,1022.10054814,
,,,0.2,74.9,17.6,1022.20213984,
,,,0.4,71.9,17.6,1022.20213984,
,,,0.5,58.8,17.6,1022.20213984,
,,,0.5,58.9,17.6,1022.30034515,
,,,0.6,48.6,17.6,1022.30034515,
,,,0.7,42.3,17.6,1022.30034515,
,,,0.8,40.5,17.6,1022.30034515,
